정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
BSB205220101,양장골,35.22475125,128.92566799,2024-10-28,,21,부산광역시,부산BIS
BSB205230201,지내역,35.22739192,128.92409544,2024-10-28,,21,부산광역시,부산BIS
BSB205240101,지내역,35.22753895,128.92342966,2024-10-28,,21,부산광역시,부산BIS
BSB205240201,지내동원아파트,35.22884411,128.92230201,2024-10-28,,21,부산광역시,부산BIS
BSB205260301,지내동입구,35.2297175,128.92147657,2024-10-28,,21,부산광역시,부산BIS
BSB205280201,경남은행,35.22929218,128.91863207,2024-10-28,,21,부산광역시,부산BIS
BSB205290101,경남은행,35.22892464,128.91867405,2024-10-28,,21,부산광역시,부산BIS
BSB205290201,김해대학역,35.22918134,128.91564487,2024-10-28,,21,부산광역시,부산BIS
BSB205310101,김해대학역,35.22881413,128.91569147,2024-10-28,,21,부산광역시,부산BIS
BSB205330101,초선대,35.22847103,128.90937808,2024-10-28,,21,부산광역시,부산BIS
BSB205340201,초선대,35.22884253,128.90804612,2024-10-28,,21,부산광역시,부산BIS
BSB205410201,인제대역,35.22834069,128.90134268,2024-10-28,,21,부산광역시,부산BIS
BSB205420101,인제대역,35.22786101,128.90138119,2024-10-28,,21,부산광역시,부산BIS
BSB205430201,성모병원,35.22812572,128.89885833,2024-10-28,,21,부산광역시,부산BIS
BSB205440101,성모병원,35.22764818,128.8988657,2024-10-28,,21,부산광역시,부산BIS
BSB205480101,복음병원입구,35.22727811,128.89489712,2024-10-28,,21,부산광역시,부산BIS
BSB205480201,복음병원입구,35.22764007,128.89356095,2024-10-28,,21,부산광역시,부산BIS
BSB217060102,조광요턴,35.14224225,128.82528899,2024-10-28,,21,부산광역시,부산BIS
BSB217070101,조광요턴,35.14187125,128.82508872,2024-10-28,12459.0,21,부산광역시,부산BIS
BSB217070201,(주)신영,35.13952164,128.82027755,2024-10-28,12486.0,21,부산광역시,부산BIS
BSB217100401,용당동,35.11598935,129.09470705,2024-10-28,,21,부산광역시,부산BIS
BSB217110101,연화교차로,35.21717283,129.2125781,2024-10-28,16335.0,21,부산광역시,부산BIS
BSB217120101,서암입구,35.21084176,129.22220569,2024-10-28,16336.0,21,부산광역시,부산BIS
BSB217140101,동선마을,35.05557414,128.83236117,2024-10-28,12316.0,21,부산광역시,부산BIS
BSB217140102,동선이주단지,35.05562456,128.83230476,2024-10-28,,21,부산광역시,부산BIS
BSB217150101,전망대,35.02291897,128.82155305,2024-10-28,12423.0,21,부산광역시,부산BIS
BSB217160102,세바지입구,35.01260464,128.83112266,2024-10-28,,21,부산광역시,부산BIS
BSB217160201,대항,35.01212131,128.82970703,2024-10-28,,21,부산광역시,부산BIS
BSB217160202,대항방파제,35.01226496,128.82765087,2024-10-28,,21,부산광역시,부산BIS
BSB217170101,대항마을,35.01260928,128.83096394,2024-10-28,12424.0,21,부산광역시,부산BIS
BSB217170102,새바지입구,35.01272491,128.83121571,2024-10-28,,21,부산광역시,부산BIS
BSB217180101,지양곡,35.02265908,128.82175543,2024-10-28,,21,부산광역시,부산BIS
BSB217190102,용궁사입구,35.19403342,129.21988144,2024-10-28,,21,부산광역시,부산BIS
BSB217200101,금정공영차고지,35.28964085,129.09808733,2024-10-28,11275.0,21,부산광역시,부산BIS
BSB217210101,금정공영차고지,35.28990419,129.09823151,2024-10-28,,21,부산광역시,부산BIS
BSB217220102,단지내상가,35.05598761,128.96301316,2024-10-28,,21,부산광역시,부산BIS
BSB217220201,몰운대초등학교,35.05533232,128.96257553,2024-10-28,,21,부산광역시,부산BIS
BSB217250101,대방노블랜드아파트,35.09731604,128.92012923,2024-10-28,12475.0,21,부산광역시,부산BIS
BSB217250301,신명초등학교,35.09468803,128.92246889,2024-10-28,,21,부산광역시,부산BIS
BSB217270101,한국해양대.부산해사고,35.07212105,129.07740583,2024-10-28,4199.0,21,부산광역시,부산BIS
BSB217270201,국립수산물품질관리원,35.07894605,129.07511784,2024-10-28,4202.0,21,부산광역시,부산BIS
BSB217270202,한국해양수산연수원,35.07643306,129.07530631,2024-10-28,4200.0,21,부산광역시,부산BIS
BSB217280101,국립수산물품질관리원,35.0788798,129.07477632,2024-10-28,4203.0,21,부산광역시,부산BIS
BSB217280102,한국해양수산연수원,35.07646627,129.0749454,2024-10-28,4201.0,21,부산광역시,부산BIS
BSB217290101,죽전마을,35.25110925,129.05444491,2024-10-28,,21,부산광역시,부산BIS
BSB217290103,마을회관,35.2509867,129.05490435,2024-10-28,,21,부산광역시,부산BIS
BSB217290201,포구나무집,35.25149163,129.05353698,2024-10-28,,21,부산광역시,부산BIS
BSB217290202,연수암,35.25049036,129.05002409,2024-10-28,,21,부산광역시,부산BIS
BSB217310301,도시철도해운대역,35.16387137,129.16099027,2024-10-28,,21,부산광역시,부산BIS
BSB217320101,수산과학관 해동용궁사,35.192665,129.22382333,2024-10-28,,21,부산광역시,부산BIS
BSB217330101,연제공용버스차고지,35.18567,129.05352,2024-10-28,,21,부산광역시,부산BIS
BSB217340101,오륙도선착장,35.10027925,129.12258137,2024-10-28,,21,부산광역시,부산BIS
BSB217360101,화성리사이클링,35.12907728,129.05240798,2024-10-28,,21,부산광역시,부산BIS
BSB217370101,부산대본관,35.23296008,129.08342733,2024-10-28,,21,부산광역시,부산BIS
BSB217380101,범일5동주민센터,35.13059008,129.05380616,2024-10-28,,21,부산광역시,부산BIS
BSB217390101,센텀강변현대아파트,35.20844198,129.11964687,2024-10-28,,21,부산광역시,부산BIS
BSB217390102,벽산한솔타운아파트,35.20668606,129.11919688,2024-10-28,,21,부산광역시,부산BIS
BSB217390201,센텀강변현대아파트,35.20876623,129.11994777,2024-10-28,,21,부산광역시,부산BIS
BSB217390202,신동아파트,35.21019123,129.12002925,2024-10-28,,21,부산광역시,부산BIS
BSB217390203,신동아파트후문,35.21140606,129.1197967,2024-10-28,,21,부산광역시,부산BIS
BSB217390204,우신아파트,35.21322849,129.11870486,2024-10-28,,21,부산광역시,부산BIS
