주소번호,이름,주소,위도,경도
98,배산작은도서관 들락날락,"연제구 배산북로 8(연산동), 1층",35.175083723,129.093324838
99,회화나무어린이작은도서관 들락날락,사하구 사하로141번나길 11-1(괴정동),35.093981007,128.991679365
101,솔벗작은도서관 들락날락,"연제구 아시아드대로 22번길 15, 2층",35.187644290,129.070129816
108,그리며 들락날락,사상구 강선로 31(덕포1동 행정복지센터 내),35.169376102,128.985757102
181,안데르센 이야기관,부산광역시 기장군 장안읍 장안로 211,35.360140062,129.239891656
182,꽃마루어린이작은도서관 들락날락,"서구 꽃마을로 58, 서대신4동 주민센터 1층",35.119247548,129.011778174
183,부산진구 기적의도서관 들락날락,부산광역시 부산진구 범양로125번길 19 (양정동),35.174029503,129.064701518
184,노을나루길작은도서관 들락날락,"사하구 하신번영로 377, 하단2동행정복지센터 2층",35.114579484,128.960519634
185,오작교작은도서관 들락날락,"사하구 낙동대로171번길 30-5, 괴정3동행정복지센터 2층",35.100346519,128.998078861
189,금정아이숲 들락날락 어린이복합문화공간,금정구 산성로 435,35.251298733,129.054760878
190,까치마을작은도서관 들락날락,사하구 까치고개로 50-10 실버힐링센터 1층,35.104487750,129.006344951
191,꿈꾸는작은도서관 들락날락,사하구 하신중앙로 185 사하구 제2청사 A동 5층,35.094972723,128.961540674
192,구평예들 작은도서관 들락날락,사하구 을숙도대로745번길,35.086371546,128.986043447
193,감천횃불작은도서관 들락날락,사하구 감내1로175번길 50,35.096476886,129.009164557
194,동매누리작은도서관 들락날락,사하구 다대로130번길 112,35.093063130,128.975948470
195,장림무지개작은도서관 들락날락,"사하구 장림로161번길 14, 2층",35.083355200,128.967032810
196,한국신발관 들락날락,부산진구 백양대로 227(3층),35.157309284,129.025810322
197,서구아미드림도서관 들락날락(조성중),부산시 서구 아미동2가 249-18일원,35.10372936263688,129.00921520137797
205,아동보호종합센터,부산광역시 서구 까치고개로 183,35.100202209,129.015868464
206,고맙습니다.글마루작은도서관(조성중),"부산광역시 중구 동영로 87-1, 영주터널 윗길(영주동)",35.112721170,129.031627637
207,백년송도 어린이해양역사 체험관(조성중),부산광역시 서구 송도해변로 100,35.076820119,129.018049490
208,아랫서발작은도서관,"부산광역시 영도구 동삼오션로 27, 동삼2동 행정복지센터 2층",35.068393845,129.083015770
209,풀잎작은도서관(조성중),"부산광역시 영도구 영선대로 65, 영선2동 행정복지센터 3층",35.086986860,129.041319763
210,부산진구당감도서관(조성중),부산광역시 부산진구 당감동 93-17 ,35.15766771118992,129.04689359288727
211,남구도서관(조성중),부산광역시 남구 수영로 267번길 61(대연동),35.137696705,129.094567839
212,반송종합사회복지관(조성중),부산광역시 해운대구 아랫반송로1번길 15(반송동),35.226408285,129.146907595
213,구서2동어린이작은도서관,"부산광역시 금정구 금강로 584, 4층(구서동)",35.259554479,129.088035370
214,금정도서관(조성중),부산광역시 금정구 금정도서관로 33(청룡동),35.272718107,129.096198188
215,학장동 신규청사(조성중),부산광역시 사상구 학장동 546번지 일원,35.142324347544346,128.98741453591447
216,주례쌈지도서관(조성중),부산광역시 사상구 냉정로 10(주례동) 주례3동 행정복지센터 2층,35.147354849,129.001412225
217,모래내 다온플랫폼(조성중),부산광역시 사상구 모라동 1133번지 외 2필지,35.18915023986207,128.9861578442612
219,솔바람문화센터 들락날락(조성중),부산광역시 사하구 에덴공원 내 솔바람문화센터,,
222,부산복합혁신센터 들락날락(조성중),부산광역시 영도구 동삼동 1158번지 부산복합혁신센터,35.08049323350543,129.0766930075334
223,캠코 신규직원사택 들락날락(조성중),"부산광역시 남구 대연동 1741-28, 캠코 신규직원사택 1층",35.13537081262156,129.09242727731748
224,사하소방서 안전체험장 들락날락(조성중),"부산광역시 사하구 장평로 270, 사하소방서 안전체험장",35.090625519,128.973417430
225,좌성초등학교 들락날락(조성중),부산광역시 동구 범일동 1400번지 좌성초등학교(폐교),35.137401299549055,129.05212269279204
226,연제구장애인복지관 어린이도서관 들락날락(조성중),부산광역시 연제구 연산동 149-24 연제구 장애인 복지관 2층 어린이도서관,35.18793017384141,129.11089239336042
227,도모헌 들락날락 어린이도서관,부산광역시 수영구 황령산로7번길 60(옛 부산시장관사) 도모헌 들락날락 어린이도서관,35.146321213,129.107180390
229,부산어린이해양복합문화공간 들락날락(조성중),부산광역시 부산진구 초읍동 43번지 부산어린이대공원 관리사업소 ,35.185846766290766,129.04169078894188
230,국립해양박물관내 어린이해양도서관 들락날락(조성중),부산광역시 영도구 해양로310번길 45 국립해양박물관내 어린이해양도서관,,
231,덕천도서관 들락날락(조성중),부산광역시 북구 덕천동 485-1번지,35.2173088786191,129.0117297904718
232,동구어린이영어도서관 들락날락(조성중),부산광역시 동구 수정로 21,35.128042957,129.044626485
233,당리작은도서관 들락날락(조성중),부산광역시 사하구 승학로20번길 25,35.106111868,128.972172557
234,일광도서관 들락날락(조성중),부산광역시 기장군 일광읍 삼성리 197,35.261594645573595,129.23070660906393
235,부산119안전체험관,동래구 우장춘로 117,35.217858768,129.074224891
236,부산글로벌빌리지 영어특화 들락날락(조성중),부산진구 가야대로 734,35.156745057,129.052320235
