도서관,시도,시군구,주소,이름,연간 이용자 수,위도,경도
44,부산광역시,수영구,부산광역시 수영구 남천서로 33 (남천동) 수영구도서관,수영구도서관,"248,564",35.144303755,129.105234720
45,부산광역시,수영구,부산광역시 수영구 장대골로 75-6 (광안동) 수영구어린이도서관,수영구어린이도서관,"80,829",35.159753707,129.104983232
46,부산광역시,연제구,부산광역시 연제구 중앙대로 1001 (연산동) 부산시청열린도서관,부산시청열린도서관,"287,867",35.180460087,129.075610891
47,부산광역시,연제구,부산광역시 연제구 황령산로 612 (연산동) 연제도서관,연제도서관,"235,876",35.174137092,129.082969347
48,부산광역시,영도구,부산광역시 영도구 함지로79번길 6 (동삼동) (영도어울림문화공원 내) 영도도서관,영도도서관,"277,250",35.073864295,129.065561983
49,부산광역시,영도구,부산광역시 영도구 절영로 71 (남항동2가) 영도어린이영어도서관,영도어린이영어도서관,"79,780",35.088512824,129.038970898
50,부산광역시,해운대구,부산광역시 해운대구 재반로282번길 38 (반여동) (반여도서관),반여도서관,"3,801",35.202026169,129.133807965
51,부산광역시,해운대구,부산광역시 해운대구 해운대로76번길 35-1 (재송동) 재송어린이도서관,재송어린이도서관,"90,833",35.189633557,129.118496656
52,부산광역시,해운대구,부산광역시 해운대구 반여로 132 (반여동) 해운대인문학도서관,해운대인문학도서관,"174,471",35.202192329,129.126301637
,,,,,,37.215170118,127.037841697
박물관,,,,,,37.215170118,127.037841697
1,부산광역시,남구,부산광역시 남구 홍곡로 320번길 100,국립일제강제동원역사관,"114,826",35.124602347,129.092111858
2,부산광역시,영도구,부산광역시 영도구 해양로 301번길 45,국립해양박물관,"769,484",35.078709425,129.080199790
3,부산광역시,영도구,부산광역시 영도구 태종로 729,동삼동패총전시관,"8,341",35.071232169,129.079789589
4,부산광역시,동래구,부산광역시 동래구 복천로 63,복천박물관,"91,405",35.208731197,129.091210255
5,부산광역시,중구,부산광역시 중구 대청로 104,부산근현대역사관(휴관),"93,211",35.102670600,129.031159531
6,부산광역시,남구,부산광역시 남구 유엔평화로 63,부산광역시립박물관,"130,339",35.128932145,129.093897700
7,부산광역시,부산진구,부산광역시 부산진구 시민공원로 73,부산시민공원역사관,"18,125",35.170201790,129.059144878
8,부산광역시,북구,부산광역시 북구 학사로 128(화명동),부산어촌민속관,"57,441",35.233753936,129.008455092
9,부산광역시,중구,부산광역시 중구 대청로 126번길 12,부산영화체험박물관,"125,000",35.101728990,129.033559119
10,부산광역시,동래구,부산광역시 동래구 우장춘로 175(온천동),부산해양자연사박물관,"118,002",35.221848653,129.075579428
11,부산광역시,사상구,부산광역시 사상구 낙동대로 1258번길 36,사상생활사박물관,"7,723",35.172025706,128.978726948
12,부산광역시,서구,부산광역시 서구 임시수도기념로 45,임시수도기념관,"40,803",35.103536085,129.017401655
13,부산광역시,기장군,부산광역시 기장군 정관읍 정관중앙로 122,정관박물관,"54,950",35.326849712,129.185052963
14,부산광역시,강서구,부산광역시 강서구 가덕해안로 741,록봉민속교육박물관(휴관),,35.031356359,128.812677821
15,부산광역시,금정구,부산광역시 금정구 범어사로 250,범어사 성보박물관(휴관),,35.284482130,129.069085323
16,부산광역시,금정구,부산광역시 금정구 범어사로 296,범어사 성보박물관(성보관),"12,363",35.278407489,129.074400815
17,부산광역시,부산진구,부산광역시 부산진구 중앙대로 702번길 21(부전동),부산포민속박물관(휴관),,35.155544778,129.060369483
18,부산광역시,해운대구,부산광역시 해운대구 좌동로 162,아세안문화박물관,"34,440",35.175164945,129.182057622
19,부산광역시,금정구,부산광역시 금정구 오륜대로 106-1,오륜대한국순교자박물관(휴관),,35.246104534,129.101578840
20,부산광역시,남구,부산광역시 남구 홍곡로 320번길 106,유엔평화기념관,"106,505",35.124701715,129.093288346
21,부산광역시,남구,부산광역시 남구 전포대로 133,증권박물관(부산관),"10,468",35.148312778,129.065451187
22,부산광역시,남구,부산광역시 남구 문현금융로 40 부산국제금융센터(BIFC) 51층,한국거래소 자본시장역사박물관,"8,092",35.147140804,129.065649054
23,부산광역시,동래구,부산광역시 동래구 충렬대로 202번가길 13(예람비전센터 3층),한국기독교선교박물관,"7,179",35.201778661,129.082414259
24,부산광역시,서구,부산광역시 서구 구덕로 225,동아대학교 박물관,"31,589",35.103745030,129.019412200
25,부산광역시,부산진구,부산광역시 부산진구 엄광로 176,동의대학교박물관,"1,197",35.140802789,129.034220108
26,부산광역시,사하구,부산광역시 사하구 사리로 55번길 16 석파문화관,부산보건대학교 석파박물관,780,35.105257893,128.997383036
27,부산광역시,남구,부산광역시 남구 용소로 45,부경대학교박물관,"9,936",35.134925538,129.109531096
28,부산광역시,북구,부산광역시 북구 시랑로 132번길 88(구포3동) 청우관 5층 민속자료실,부산과학기술대학교 민속자료실 박물관(휴관),,35.194071510,129.004606945
29,부산광역시,연제구,부산광역시 연제구 교대로 24,부산교육대학교 교육박물관(한새갤러리),"2,400",35.196239404,129.075451289
30,부산광역시,금정구,부산광역시 금정구 부산대학로 63번길 2,부산대학교박물관,,35.230172797,129.080608199
31,부산광역시,부산진구,부산광역시 부산진구 진남로 506(양정동),부산여자대학교 한국차박물관,100,35.168663534,129.071607300
32,부산광역시,사상구,부산광역시 사상구 백양대로 700번길 140,신라대학교박물관,501,35.169233349,128.995284624
33,부산광역시,영도구,부산광역시 영도구 태종로 727,한국해양대학교박물관,"1,069",35.078077125,129.091069395
,,,,,,37.215170118,127.037841697
미술관,,,,,,37.215170118,127.037841697
1,부산광역시,해운대구,부산광역시 해운대구 APEC로 58,부산광역시립미술관,"576,437",35.166701360,129.136986021
2,부산광역시,사하구,부산광역시 사하구 낙동남로 1191,부산현대미술관,"278,258",35.109350729,128.942990654
3,부산광역시,금정구,부산광역시 금정구 금샘로 35,디오티미술관,"8,560",35.228939425,129.076739182
4,부산광역시,해운대구,부산광역시 해운대구 해운대로 452번길 16,고은사진미술관,"10,381",35.163305448,129.141239515
5,부산광역시,금정구,부산광역시 금정구 죽전1길 29(금성동),킴스아트필드미술관,656,35.252356088,129.053990076
6,부산광역시,중구,부산광역시 중구 중앙대로 130,한광미술관(휴관),,35.108971922,129.037425386
7,부산광역시,부산진구,부산광역시 부산진구 서면로 39 4층,KT&G 상상마당 부산미술관,"141,138",35.154284703,129.057284424
8,부산광역시,남구,부산광역시 남구 수영로 309 26호관 B108호,경성대학교미술관,"5,200",35.137827012,129.096093280
9,부산광역시,서구,부산광역시 서구 구덕로 225,동아대학교 석당미술관,"3,410",35.103745030,129.019412200
,,,,,,37.215170118,127.037841697
생활문화센터,,,,,,37.215170118,127.037841697
1,부산광역시,중구,부산광역시 중구 동광길 49,40계단문화관,"24,000",35.105004037,129.034477987
